GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized65536,48,282,9,21,10,42,10,12,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized8,6,799,2,12,2,126,2,12,0,7
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized512,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized16384,48,259,9,11,10,37,10,7,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized128,79,50,6,6,11,12,6,7,1,6
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized2048,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized1024,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized64,56,73,2,10,6,17,2,11,0,7
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized32,52,95,1,13,5,23,2,13,1,7
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized4096,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized256,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized8192,88,41,8,4,13,10,9,4,3,4
Fast Fourier Transform Library,com.fft.optimized,FFTOptimized32768,48,252,9,19,10,36,10,11,3,4
Fast Fourier Transform Library,com.fft.demo,RefactoringDemo,504,0,2,0,73,0,8,0,7,0
Fast Fourier Transform Library,com.fft.factory,FFTImplementationDiscovery,101,405,15,31,24,92,16,23,3,13
Fast Fourier Transform Library,com.fft.factory,DefaultFFTFactory,16,347,7,31,4,65,7,28,0,16
Fast Fourier Transform Library,com.fft.factory,FFTImplementationDiscovery.DiscoveredImplementation,20,61,1,1,3,17,1,10,0,10
Fast Fourier Transform Library,com.fft.factory,DefaultFFTFactory.ImplementationEntry,0,9,0,0,0,4,0,1,0,1
Fast Fourier Transform Library,com.fft.core,FFT,8,8,1,1,2,3,2,1,1,1
Fast Fourier Transform Library,com.fft.core,FFTBase,0,359,1,27,0,70,1,21,0,8
Fast Fourier Transform Library,com.fft.core,FFTResult,5,414,7,33,0,67,7,29,0,16
Fast Fourier Transform Library,com.fft.utils,FFTUtils,14,347,3,38,3,64,4,38,1,18
